asymmetrical, symmetrical
effectiveness, ineffectiveness
castrated, uncastrated
involuntarily, voluntarily
overstock, understock
competitive, noncompetitive
multivalent, univalent
impalpability, palpability
popularity, unpopularity
breasted, breastless
metallic, nonmetallic
faceted, unfaceted
overstatement, understatement
immortality, mortality
pointed, pointless
agonist, antagonist
early, middle
handled, handleless
alienable, inalienable
declared, undeclared
aquatic, terrestrial
intransitivity, transitivity
brainwashed, unbrainwashed
side, top
extrovert, introvert
fearfulness, fearlessness
coherently, incoherently
amended, unamended
catalectic, hypercatalectic
naturalness, unnaturalness
negativeness, positiveness
gradual, sudden
implacable, placable
insufficient, sufficient
sit, stand
nonreticulate, reticulate
exclusion, inclusion
lowborn, noble
have, lack
kinanesthesia, kinesthesia
caducous, persistent
illegality, legality
anticatalyst, catalyst
adulterating, purifying
off-street, on-street
deflation, disinflation
compliant, defiant
cross-eyed, walleyed
brachycephalic, dolichocephalic
narrow, widen
conductive, nonconductive
coiled, uncoiled
brightness, dullness
diversify, specialise
correctness, incorrectness
louden, quieten
attract, repel
even, odd
downstairs, upstairs
capitalistic, socialistic
breathing, breathless
mercifulness, mercilessness
unusual, usual
irrationally, rationally
chain, unchain
mononuclear, trinucleate
dress, undress
belted, unbelted
insoluble, soluble
ambiguous, unambiguous
constructiveness, destructiveness
pleasantly, unpleasantly
clockwise, counterclockwise
ascend, descend
inwardness, outwardness
flexible, inflexible
idle, work
critically, uncritically
adscript, subscript
monovalent, polyvalent
adiabatic, diabatic
impurity, purity
expensiveness, inexpensiveness
diversify, specialize
explicit, implicit
cleanliness, uncleanliness
hyperparathyroidism, hypoparathyroidism
attractive, repulsive
attentiveness, inattentiveness
appetizingness, unappetizingness
apologetic, unapologetic
contented, discontented
major, minor
dehumanize, humanize
inwardly, outwardly
aboral, oral
imprecisely, precisely
compatibility, incompatibility
afebrile, febrile
military, unmilitary
dispose, indispose
established, unestablished
blue-collar, white-collar
jawed, jawless
published, unpublished
nonwashable, washable
freeze, unfreeze
irregularly, regularly
hydric, mesic
disposable, nondisposable
compassionate, uncompassionate
realistically, unrealistically
principled, unprincipled
imperfect, perfect
disordered, ordered
worth, worthlessness
scheduled, unscheduled
highland, lowland
middle-class, upper-class
nonworker, worker
postnuptial, prenuptial
overestimate, underestimate
interestingly, uninterestingly
glorious, inglorious
abstain, consume
dramatically, undramatically
chromatic, diatonic
inseparably, separably
facultative, obligate
clement, inclement
infield, outfield
essential, inessential
swept, unswept
active, quiet
reassure, worry
lossless, lossy
downwardly, upwardly
unwholesomeness, wholesomeness
unventilated, ventilated
centralization, decentralization
joyful, sorrowful
dovishness, hawkishness
first, second
damaged, undamaged
anestrous, estrous
tracked, trackless
loving, unloving
finitely, infinitely
applicability, inapplicability
lock, unlock
charged, uncharged
maxi, mini
convenience, inconvenience
myelinated, unmyelinated
right, wrongly
abundance, scarcity
impolite, polite
conspicuously, inconspicuously
imperceptible, perceptible
extroversive, introversive
analytic, synthetic
acaudate, caudate
handmade, machine-made
caution, incaution
intolerable, tolerable
eager, uneager
terseness, verboseness
illegitimate, legitimate
fretted, unfretted
dramatic, undramatic
deflationary, inflationary
continental, intercontinental
excitingly, unexcitingly
relax, tense
high-tech, low-tech
competence, incompetence
intolerant, tolerant
weightless, weighty
achondritic, chondritic
restricted, unrestricted
exciting, unexciting
forgivably, unforgivably
heterologous, homologous
keep, lose
mobile, stabile
apojove, perijove
progress, regress
related, unrelated
hypotensive, normotensive
meaningful, meaningless
incoming, outgoing
off, on
immobility, mobility
newness, oldness
attentive, inattentive
defensively, offensively
devolution, evolution
de-ionate, ionate
discourage, encourage
acknowledged, unacknowledged
direct, indirect
cry, laugh
custom-made, ready-made
disincentive, incentive
calm, stormy
endocentric, exocentric
compliance, noncompliance
intrusive, unintrusive
abstractly, concretely
disobey, obey
covert, overt
beginning, middle
bellied, bellyless
tipped, untipped
being, nonbeing
unworthy, worthy
annual, biennial
insentient, sentient
disingenuousness, ingenuousness
compression, decompression
disprove, prove
ovoviviparous, viviparous
maximum, minimum
fairness, unfairness
actinomorphic, zygomorphic
late, middle
articulate, inarticulate
distinctness, indistinctness
imperishable, perishable
capacity, incapacity
objective, subjective
anal, oral
effectually, ineffectually
sparkling, still
hypertonia, hypotonia
adjective, substantive
intestate, testate
float, sink
humility, pride
concave, convex
familiar, strange
silence, sound
arenaceous, argillaceous
attached, detached
noticeable, unnoticeable
unwrap, wrap
gravitation, levitation
demonstrative, undemonstrative
expectedness, unexpectedness
handed, handless
husband, wife
luckily, unluckily
criminalisation, decriminalisation
endomorphic, mesomorphic
double, single
masochist, sadist
skinless, skinned
foot, head
quiet, unquiet
long-spurred, short-spurred
hyperopia, myopia
balance, unbalance
broken, unbroken
unwary, wary
summery, vernal
hierarchical, nonhierarchical
documented, undocumented
nonproliferation, proliferation
external, internal
unwellness, wellness
discreetly, indiscreetly
ambiversive, extroversive
tasteful, tasteless
screw, unscrew
advance, recede
counterfeit, genuine
intentionally, unintentionally
intelligible, unintelligible
resist, surrender
nonphotosynthetic, photosynthetic
counterfactuality, factuality
eusporangiate, leptosporangiate
allopatric, sympatric
harmonious, inharmonious
nontechnical, technical
orthodoxy, unorthodoxy
cenobitic, eremitic
tidy, untidy
familiar, unfamiliar
impersonally, personally
questionable, unquestionable
invalidate, validate
tune, untune
convertibility, inconvertibility
meatless, meaty
awkward, graceful
joy, sorrow
dehiscent, indehiscent
satisfactory, unsatisfactory
allochthonous, autochthonous
useful, useless
dehydrate, hydrate
valgus, varus
recognizably, unrecognizably
demystify, mystify
differentiate, integrate
stressed, unstressed
dishonest, honest
binucleate, trinucleate
assemble, disassemble
feminine, neuter
narrowness, wideness
contraction, expansion
industrial, nonindustrial
animate, inanimate
delicate, rugged
high, low
blind, sighted
reality, unreality
immateriality, materiality
misogyny, philogyny
immodesty, modesty
clear, unclear
demagnetise, magnetise
parallel, perpendicular
failure, success
proved, unproved
labeled, unlabeled
intrusive, protrusive
enforce, exempt
dominant, subordinate
freelance, salaried
born, unborn
constructive, destructive
dispensability, indispensability
go, no-go
lined, unlined
purge, rehabilitate
seasonably, unseasonably
anodic, cathodic
depart, stay
shared, unshared
unwearable, wearable
autumnal, wintry
categorematic, syncategorematic
pleasingness, unpleasingness
deductive, inductive
hollowness, solidity
inviting, uninviting
strengthening, weakening
direct, inverse
big, little
closeness, openness
expedience, inexpedience
crossed, uncrossed
impermissibility, permissibility
unveiled, veiled
concentrated, distributed
expatriate, repatriate
kern, kern
negative, neutral
green, ripe
matched, mismatched
ecdemic, endemic
talented, untalented
fitness, unfitness
datable, undatable
intelligibility, unintelligibility
belief, unbelief
intangible, tangible
dysgenics, eugenics
democratic, undemocratic
acceptability, unacceptability
active, dormant
desynchronise, synchronise
destructibility, indestructibility
virtuous, wicked
double-barreled, single-barreled
manly, unmanly
astringent, nonastringent
air-to-air, surface-to-air
atonicity, tonicity
extracellular, intracellular
familiarity, unfamiliarity
steady, unsteady
civilly, uncivilly
harden, soften
different, same
attractively, unattractively
chartered, unchartered
supportive, unsupportive
hide, show
marked, unmarked
midi, mini
impalpable, palpable
extraterritorial, territorial
curableness, incurableness
beginning, ending
full-time, half-time
centralizing, decentralizing
elegant, inelegant
endowed, unendowed
desynchronization, synchronization
citizen, noncitizen
finished, unfinished
sonic, subsonic
atonality, tonality
driver, nondriver
depression, elation
leaky, tight
divide, multiply
connectedness, unconnectedness
discernible, indiscernible
subjacent, superjacent
consonantal, vocalic
experience, inexperience
elegance, inelegance
husbandly, wifely
innocuous, noxious
acute, chronic
antimagnetic, magnetic
gusseted, ungusseted
mechanical, nonmechanical
known, unknown
heavy-duty, light-duty
certainty, uncertainty
aplacental, placental
insolvent, solvent
ectomorphic, mesomorphic
lamented, unlamented
inclined, vertical
clasp, unclasp
successfully, unsuccessfully
desirability, undesirability
affirmation, reversal
instructively, uninstructively
color, colorlessness
attack, defend
unweave, weave
improper, proper
happy, unhappy
disincarnate, incarnate
exclude, include
disable, enable
anaclinal, cataclinal
generous, ungenerous
applied, theoretical
inutility, utility
finiteness, infiniteness
autogamous, exogamous
insecureness, secureness
illogically, logically
amicable, hostile
peace, war
irresistible, resistible
impermanent, permanent
felicity, infelicity
unworldly, worldly
tame, wild
gaseous, solid
continued, discontinued
parallelogram, trapezium
feasibility, infeasibility
ambidextrous, right-handed
carnivorous, herbivorous
complicate, simplify
CISC, RISC
printable, unprintable
active, inactive
downwind, upwind
appointive, elective
camphorated, uncamphorated
mined, unmined
molar, molecular
rhetorical, unrhetorical
export, import
wigged, wigless
extensor, flexor
complex, simple
black, white
deciphered, undeciphered
characteristic, uncharacteristic
concise, prolix
equity, inequity
publicized, suppressed
female, male
smart, stupid
irresponsibility, responsibility
overachievement, underachievement
impermeable, permeable
dignified, undignified
adaptability, unadaptability
weedless, weedy
better, worse
nonpayment, payment
inopportuneness, opportuneness
illiterate, literate
enrich, impoverish
financial, nonfinancial
dishearten, hearten
aerobic, anaerobic
heterozygosity, homozygosity
demagnetize, magnetize
unwire, wire
clergy, laity
gracious, ungracious
looseness, tightness
reproducible, unreproducible
preceding, succeeding
intolerance, tolerance
quotable, unquotable
one-piece, two-piece
liveried, unliveried
decrement, increment
extended, unextended
attachable, detachable
anemophilous, entomophilous
background, foreground
antrorse, retrorse
carvel-built, clinker-built
compromising, uncompromising
downriver, upriver
altruistic, egoistic
loosen, stiffen
downgrade, upgrade
explode, implode
credibly, incredibly
immutable, mutable
retail, wholesale
extricable, inextricable
eucaryotic, procaryotic
excitable, unexcitable
benignity, malignity
impenetrable, penetrable
irresponsibly, responsibly
influential, uninfluential
argumentative, unargumentative
better, worsen
alternating, direct
rise, set
femaleness, maleness
bivalent, univalent
strength, weakness
skilled, unskilled
nonsteroidal, steroidal
favorable, unfavorable
all, no
nonsectarian, sectarian
exhausted, unexhausted
allogeneic, xenogeneic
bequeath, disinherit
insignificant, significant
antapex, apex
brave, timid
dehumidify, humidify
bold, timid
bettering, worsening
coldhearted, warmhearted
gutless, gutsy
nonparticipation, participation
colonise, decolonise
forgiving, unforgiving
patronized, unpatronized
corporeal, incorporeal
clearness, unclearness
double-breasted, single-breasted
spirited, spiritless
eradicable, ineradicable
aliquant, aliquot
anionic, cationic
illegible, legible
emotionally, unemotionally
posteriority, priority
motorized, unmotorized
moneyed, moneyless
seductive, unseductive
technophile, technophobe
beautify, uglify
boldness, timidity
unwillingness, willingness
stable, unstable
invisibility, visibility
injudiciousness, judiciousness
all, some
appreciation, depreciation
correctly, incorrectly
tactfully, tactlessly
enthusiastically, unenthusiastically
common, uncommon
discouraging, encouraging
buy, sell
ametabolic, metabolic
loud, soft
fruitful, unfruitful
desalinate, salinate
break, repair
acyclic, cyclic
crescendo, decrescendo
unwrinkled, wrinkled
empty, fill
distinct, indistinct
tactful, tactless
nonpolitical, political
center, left
herbivorous, omnivorous
endemic, epidemic
amphitropous, anatropous
impracticableness, practicableness
healthfulness, unhealthfulness
inquiring, uninquiring
disoblige, oblige
conformist, nonconformist
accuracy, inaccuracy
employee, employer
impartiality, partiality
steadily, unsteadily
sympathetically, unsympathetically
sensational, unsensational
shrink, stretch
infectious, noninfectious
criminalization, decriminalization
atomism, holism
accusatorial, inquisitorial
erect, unerect
obligatory, optional
deposit, withdraw
moonless, moonlit
largeness, smallness
criminalise, decriminalise
anisotropic, isotropic
hydric, xeric
professional, unprofessional
just, unjust
hurriedly, unhurriedly
altruism, egoism
formalism, imitation
illogicality, logicality
oblique, perpendicular
decorousness, indecorousness
multidimensional, unidimensional
clog, unclog
noticed, unnoticed
combinative, noncombinative
harness, unharness
inpatient, outpatient
irreversible, reversible
unveil, veil
bedded, bedless
opisthognathous, prognathous
enforced, unenforced
disentangle, entangle
impenitent, penitent
depersonalize, personalize
tangled, untangled
loaded, unloaded
nonrigid, rigid
exempt, nonexempt
like, unlike
bore, interest
restraint, unrestraint
creative, uncreative
asyndetic, syndetic
deficit, lead
armament, disarmament
Cryptogamia, Phanerogamae
detected, undetected
melted, unmelted
dark, light
conspicuousness, inconspicuousness
perinatal, prenatal
painted, unpainted
equally, unequally
frivolity, seriousness
often, rarely
dissuasion, persuasion
loamless, loamy
badness, goodness
aunt, uncle
extinguishable, inextinguishable
approvingly, disapprovingly
artificial, natural
lax, tense
toothed, toothless
necked, neckless
listed, unlisted
tapped, untapped
favorableness, unfavorableness
dysphemism, euphemism
drinkable, undrinkable
bare, covered
pronounceable, unpronounceable
saponified, unsaponified
intervention, nonintervention
ignore, know
comparable, incomparable
linear, planar
compound, simple
cold, hot
concentration, dilution
bottom-up, top-down
couple, uncouple
future, past
auspiciously, inauspiciously
thoughtfully, thoughtlessly
precedentedly, unprecedentedly
nonsubmersible, submersible
devitalize, vitalize
imprudent, prudent
cubic, linear
commutable, incommutable
fresh, salty
categoreme, syncategoreme
bivalve, univalve
plural, singular
caudal, cephalic
hairiness, hairlessness
sunrise, sunset
enterprising, unenterprising
stableness, unstableness
extensile, nonextensile
nominal, real
extrospective, introspective
consolable, inconsolable
inorganically, organically
eastern, western
best, worst
abnormal, normal
distrust, trust
impractical, practical
acquittal, conviction
desirous, undesirous
anterograde, retrograde
oblate, prolate
explosive, nonexplosive
pretentious, unpretentious
corrupt, incorrupt
tied, untied
discriminating, undiscriminating
realistic, unrealistic
unwind, wind
lawfulness, unlawfulness
fissionable, nonfissionable
surprising, unsurprising
bearing, nonbearing
nonsmoker, smoker
diversified, undiversified
forte, piano
activity, inactivity
defeated, undefeated
emigrate, immigrate
disobedient, obedient
competently, incompetently
consistency, inconsistency
tongued, tongueless
decently, indecently
farsighted, nearsighted
advertently, inadvertently
discipline, indiscipline
downstream, upstream
flattering, unflattering
maximally, minimally
fresh, preserved
neighborliness, unneighborliness
exhale, inhale
sugarless, sugary
planted, unplanted
composed, discomposed
perceptive, unperceptive
admissibility, inadmissibility
efficiently, inefficiently
affinity, consanguinity
obstructed, unobstructed
constricted, unconstricted
afferent, efferent
joyless, joyous
autologous, homologous
permissiveness, unpermissiveness
figure, ground
literalize, spiritualize
monophony, polyphony
audibly, inaudibly
stuff, unstuff
decorously, indecorously
posed, unposed
conclusively, inconclusively
linear, nonlinear
pack, unpack
stand, yield
hit, miss
entozoic, epizoic
insectivorous, omnivorous
desensitizing, sensitizing
dystopian, utopian
begrudge, wish
hospitable, inhospitable
hypertonus, hypotonus
hypernatremia, hyponatremia
fixed, unfixed
columned, noncolumned
down, up
curdle, homogenise
nonparticulate, particulate
institutionalized, noninstitutionalized
no, some
democratically, undemocratically
yang, yin
exploited, unexploited
thematic, unthematic
fearfully, fearlessly
insolvency, solvency
immaterial, material
attach, detach
numerical, verbal
inoffensively, offensively
assimilate, dissimilate
snarl, unsnarl
divide, unite
boycott, patronize
inshore, offshore
insecurely, securely
inferiority, superiority
north, south
absorbency, nonabsorbency
disjoin, join
balance, imbalance
nonpartisan, partisan
atomistic, holistic
seemliness, unseemliness
inside, outside
faithful, unfaithful
cheap, expensive
branded, unbranded
nonruminant, ruminant
dock, undock
clean, unclean
intangibility, tangibility
pointedness, unpointedness
conditionally, unconditionally
fear, fearlessness
generosity, stinginess
bridle, unbridle
beneficed, unbeneficed
drunkenness, soberness
distinguishable, indistinguishable
succumb, survive
amphibious, terrestrial
angry, unangry
externally, internally
susceptible, unsusceptible
central, peripheral
powered, unpowered
nonvolatile, volatile
endogamy, exogamy
errancy, inerrancy
consumptive, generative
directly, indirectly
radiolucent, radiopaque
empirically, theoretically
disorganise, organise
magnetic, nonmagnetic
clarity, opacity
aptitude, inaptitude
invisible, visible
devoice, voice
confidence, diffidence
nonreciprocal, reciprocal
masculine, neuter
armed, unarmed
soured, unsoured
unwarily, warily
hygienically, unhygienically
critical, uncritical
denaturalize, naturalize
malted, unmalted
painfully, painlessly
ill-advised, well-advised
deceive, undeceive
porosity, solidity
ascent, descent
federal, unitary
fasten, unfasten
diplomatically, undiplomatically
cauline, radical
selfish, unselfish
broad-mindedness, narrow-mindedness
acceleration, deceleration
seaworthy, unseaworthy
nontranslational, translational
memorably, unmemorably
airworthy, unairworthy
composure, discomposure
germfree, germy
conceit, humility
imperceptibly, perceptibly
fractional, whole
friendliness, unfriendliness
autumnal, vernal
meaningfulness, meaninglessness
stemless, stemmed
overstate, understate
felicitous, infelicitous
acid-loving, alkaline-loving
judgmental, nonjudgmental
adroitly, maladroitly
interference, noninterference
gratefully, ungratefully
coordination, incoordination
feathered, unfeathered
sour, sweet
buckle, unbuckle
compatibly, incompatibly
obscurity, prominence
immotility, motility
eligible, ineligible
claim, forfeit
immediacy, mediacy
destabilization, stabilization
happily, sadly
hypertensive, normotensive
invertible, non-invertible
susceptibility, unsusceptibility
fire, hire
attributive, predicative
critical, noncritical
hairless, hairy
alkaline, amphoteric
adsorbent, nonadsorbent
humane, inhumane
high-rise, low-rise
accentual, quantitative
inoffensive, offensive
illness, wellness
mown, unmown
offshore, onshore
overvalue, undervalue
collected, uncollected
atonic, tonic
migratory, nonmigratory
acutely, chronically
dedicated, undedicated
inoperative, operative
hyperkalemia, hypokalemia
crooked, straight
content, discontent
gutlessness, gutsiness
asymmetry, symmetry
irremovable, removable
humorless, humorous
destabilise, stabilize
ceilinged, floored
profound, superficial
cautious, incautious
acropetal, basipetal
considerable, inconsiderable
dioecious, monoecious
binaural, monaural
pigeon-toed, splayfooted
contestable, incontestable
cold-blooded, warm-blooded
dysphoria, euphoria
oblique, parallel
anastigmatic, astigmatic
off-line, on-line
anonymous, onymous
insufficiently, sufficiently
emptiness, fullness
nonracial, racial
autogenous, heterogenous
distrustful, trustful
existent, nonexistent
summerize, winterize
dextrorotation, levorotation
graciousness, ungraciousness
creditor, debtor
even, uneven
nonspherical, spherical
courtesy, discourtesy
satisfactorily, unsatisfactorily
reverberant, unreverberant
immiscible, miscible
cross-pollination, self-pollination
fair, unfair
effector, receptor
destabilise, stabilise
careful, careless
loudly, softly
roughen, smooth
depressurize, pressurize
credulous, incredulous
dull, lively
hypertensive, hypotensive
cash, credit
naturally, unnaturally
belt, unbelt
native, nonnative
explicitly, implicitly
disinclined, inclined
impolitic, politic
nonretractile, retractile
employment, unemployment
fold, unfold
beginning, end
colorful, colorless
deflation, inflation
finite, infinite
comprehension, incomprehension
insufficiency, sufficiency
day, night
responsive, unresponsive
conscientiousness, unconscientiousness
expedient, inexpedient
studied, unstudied
harmful, harmless
unwariness, wariness
brother, sister
nontaxable, taxable
provocative, unprovocative
antonymous, synonymous
truthful, untruthful
anhydrous, hydrous
active, extinct
multinucleate, uninucleate
enclosed, unenclosed
endogenic, exogenic
imprudently, prudently
shaven, unshaven
dethrone, enthrone
tidiness, untidiness
assigned, unassigned
offside, onside
inopportunely, opportunely
in-basket, out-basket
drinker, nondrinker
impracticability, practicability
designed, undesigned
exploratory, nonexploratory
intolerantly, tolerantly
constancy, inconstancy
gratitude, ingratitude
nonsignificant, significant
adaptable, unadaptable
desensitise, sensitise
deteriorate, recuperate
gloved, gloveless
highness, lowness
surprised, unsurprised
reasonable, unreasonable
unwitting, witting
acceptably, unacceptably
playful, unplayful
defeasible, indefeasible
cardinal, ordinal
naive, sophisticated
illegitimacy, legitimacy
converge, diverge
displeasing, pleasing
bivalent, multivalent
comparably, incomparably
modifiable, unmodifiable
analysis, synthesis
dorsal, ventral
responsiveness, unresponsiveness
unworthiness, worthiness
informed, uninformed
rimless, rimmed
cacophonous, euphonious
declaratory, interrogatory
lumper, splitter
impoliteness, politeness
conditioned, unconditioned
optimism, pessimism
contraindicate, indicate
break, make
domineering, submissive
fidelity, infidelity
unwelcome, welcome
wheeled, wheelless
disenfranchised, enfranchised
concerned, unconcerned
lighted, unlighted
gravity, levity
neutral, positive
automatic, manual
breakableness, unbreakableness
benignancy, malignancy
clearheaded, confused
lawfully, unlawfully
cork, uncork
busy, idle
disinflation, inflation
defence, offence
profundity, superficiality
original, unoriginal
arming, disarming
comedy, tragedy
irregular, regular
evenness, unevenness
approbate, reprobate
naivete, sophistication
hydrokinetic, hydrostatic
funded, unfunded
abaxial, adaxial
bigness, littleness
centrally, peripherally
supervised, unsupervised
equivocalness, unequivocalness
dextral, sinistral
advance, retreat
immoderate, moderate
disingenuous, ingenuous
permanently, temporarily
offstage, onstage
oleophilic, oleophobic
convincing, unconvincing
staged, unstaged
heedful, heedless
antemortem, postmortem
formally, informally
deflate, inflate
contested, uncontested
fictional, nonfictional
enlightening, unenlightening
coil, uncoil
encumbered, unencumbered
blemished, unblemished
immorally, morally
lubricated, unlubricated
apropos, malapropos
commonness, uncommonness
new, old
full-time, part-time
curious, incurious
inbred, outbred
strain, unstrain
dissonance, harmony
concentricity, eccentricity
box, unbox
hardhearted, softhearted
cheaply, expensively
unweaned, weaned
sour, sweeten
hipless, hipped
unwebbed, webbed
conventional, nuclear
de-energise, energise
efficacy, inefficacy
available, unavailable
collective, distributive
inspiring, uninspiring
spell, unspell
defined, undefined
fissile, nonfissile
discerning, undiscerning
immanent, transeunt
overact, underact
benevolence, malevolence
boil, freeze
insurmountable, surmountable
acceptable, unacceptable
let, prevent
improvidence, providence
qualified, unqualified
acuteness, obtuseness
contrasty, flat
essentiality, inessentiality
rotor, stator
braid, unbraid
proximate, ultimate
dependent, independent
scrupulous, unscrupulous
anamorphism, katamorphism
endothermic, exothermic
palatable, unpalatable
hopefulness, hopelessness
invariability, variability
awakened, unawakened
immoderately, moderately
overpay, underpay
acquit, convict
invulnerability, vulnerability
mask, unmask
inorganic, organic
deprive, enrich
ferned, fernless
brave, cowardly
immodest, modest
credulously, incredulously
dissuasive, persuasive
intelligibly, unintelligibly
foolish, wise
cenogenetic, palingenetic
futurity, pastness
involved, uninvolved
helpful, unhelpful
baptized, unbaptized
generalize, specify
seamed, seamless
bound, free
armed, armless
ashamedly, unashamedly
docile, stubborn
minus, plus
disorganize, organize
immorality, morality
irregularity, regularity
sedate, stimulate
heedfulness, heedlessness
exchangeable, unexchangeable
nontraditional, traditional
comprehensibility, incomprehensibility
sworn, unsworn
environmentalism, hereditarianism
junior, senior
anadromous, catadromous
assisted, unassisted
associate, dissociate
fewer, more
seedless, seedy
disunion, union
helpfully, unhelpfully
flat, natural
demilitarize, militarize
contamination, decontamination
conductor, insulator
disparage, flatter
unwilling, willing
divest, invest
acquaintance, stranger
irreverence, reverence
fallible, infallible
flowering, flowerless
muzzle, unmuzzle
appropriate, inappropriate
failing, passing
insincerity, sincerity
pretentiousness, unpretentiousness
extensive, intensive
frivolous, serious
imitative, nonimitative
achiever, loser
exportable, unexportable
faithfully, unfaithfully
sized, unsized
deaf, hearing
caulked, uncaulked
cellular, noncellular
affectedness, unaffectedness
requested, unrequested
cortex, medulla
overhand, underhand
