abaxial, dorsal
lanate, woolly
pilous, pilose
pilous, pilary
tomentose, tomentous
velvety-furred, velvety-haired
wire-haired, wiry-coated
wooly, woolly
wooly, wooly-haired
wooly, woolly-haired
awned, awny
load-bearing, supporting
bonny, bonnie
bonny, comely
bonny, fair
bonny, sightly
fine-looking, good-looking
fine-looking, better-looking
fine-looking, handsome
fine-looking, well-favored
fine-looking, well-favoured
glorious, resplendent
glorious, splendid
glorious, splendiferous
grotesque, monstrous
hideous, repulsive
ill-favored, ill-favoured
unlovely, unpicturesque
bellyless, flat-bellied
beltlike, belt-like
unbelted, beltless
baleful, baneful
malefic, malevolent
malefic, malign
malefic, evil
despiteful, spiteful
despiteful, vindictive
bitchy, catty
bitchy, cattish
poisonous, venomous
poisonous, vicious
benign, benignant
champion, prizewinning
high-grade, top-quality
high-grade, top-grade
first, foremost
first, world-class
go-to-meeting, Sunday-go-to-meeting
optimum, optimal
unexcelled, unexceeded
unexcelled, unsurpassed
last, last-place
last, lowest
pessimal, pessimum
fitter, healthier
worse, worsened
ameliorating, ameliorative
ameliorating, amelioratory
ameliorating, meliorative
biface, bifacial
Janus-faced, two-faced
moon-faced, round-faced
unilateral, one-sided
multilateral, many-sided
bilateral, two-sided
bipartite, two-part
bipartite, two-way
quadrilateral, four-sided
quadripartite, four-party
trilateral, triangular
trilateral, three-sided
tripartite, three-party
tripartite, three-way
binaural, biaural
stereophonic, stereo
stereophonic, two-channel
mono, monophonic
mono, single-channel
binucleate, binuclear
binucleate, binucleated
mononuclear, mononucleate
trinucleate, trinuclear
trinucleate, trinucleated
bipedal, biped
bipedal, two-footed
quadrupedal, quadruped
quadrupedal, four-footed
African-American, Afro-American
colored, coloured
colored, dark
colored, dark-skinned
colored, non-white
Caucasian, Caucasoid
blond, blonde
blond, light-haired
ash-blonde, platinum-blonde
ash-blonde, towheaded
fair, fairish
flaxen, sandy
brunet, brunette
bronzed, suntanned
bronzed, tanned
brown, browned
dark-haired, black-haired
dark-haired, brown-haired
dark-skinned, dusky
dark-skinned, swart
dark-skinned, swarthy
acned, pimpled
acned, pimply
acned, pustulate
blebbed, blebby
marred, scarred
pocked, pockmarked
unblemished, unmarred
unblemished, unmutilated
stainless, unstained
stainless, unsullied
stainless, untainted
stainless, untarnished
bloodstained, gory
bloodthirsty, bloody-minded
bloodthirsty, sanguinary
crimson, red
crimson, violent
homicidal, murderous
gory, sanguinary
gory, sanguineous
gory, slaughterous
gory, butcherly
nonviolent, unbloody
audacious, brave
audacious, dauntless
audacious, fearless
audacious, hardy
audacious, intrepid
audacious, unfearing
daredevil, temerarious
foolhardy, heady
foolhardy, rash
foolhardy, reckless
heroic, heroical
overreaching, vaulting
fearful, timorous
fearful, trepid
mousy, mousey
chained, enchained
fettered, shackled
furled, rolled
trussed, tied
unchained, unfettered
unchained, unshackled
unchained, untied
laced, tied
unlaced, untied
tied, fastened
untied, unfastened
afoul, foul
afoul, fouled
enmeshed, intermeshed
knotty, snarled
knotty, snarly
disentangled, loosened
disentangled, unsnarled
paperback, paperbacked
deckled, deckle-edged
deckled, featheredged
lower-class, low-class
propertyless, wage-earning
propertyless, working-class
propertyless, blue-collar
bourgeois, conservative
bourgeois, materialistic
propertied, property-owning
brachycephalic, brachycranial
brachycephalic, brachycranic
broad-headed, roundheaded
broad-headed, short-headed
dolichocephalic, dolichocranial
dolichocephalic, dolichocranic
brave, courageous
desperate, heroic
game, gamy
game, gamey
game, gritty
game, mettlesome
game, spirited
game, spunky
stalwart, stouthearted
valiant, valorous
cowardly, fearful
chicken, chickenhearted
chicken, lily-livered
chicken, white-livered
chicken, yellow
chicken, yellow-bellied
craven, recreant
dastard, dastardly
faint, fainthearted
faint, timid
faint, faint-hearted
pusillanimous, poor-spirited
pusillanimous, unmanly
gutsy, plucky
nursed, suckled
breathing, eupneic
breathing, eupnoeic
breathless, dyspneic
breathless, dyspnoeic
breathless, dyspneal
breathless, dyspnoeal
smothering, suffocating
smothering, suffocative
blown, pursy
blown, short-winded
blown, winded
crystallized, crystalised
amorphous, uncrystallized
amorphous, uncrystallised
ablaze, inflamed
ablaze, reddened
floodlit, floodlighted
illuminated, lighted
illuminated, lit
illuminated, well-lighted
incandescent, candent
sunlit, sunstruck
Acheronian, Acherontic
Acheronian, Stygian
black, pitch-black
black, pitch-dark
dim, subdued
dusky, twilight
dusky, twilit
glooming, gloomy
glooming, gloomful
glooming, sulky
lightless, unilluminated
lightless, unlighted
lightless, unlit
tenebrous, tenebrific
tenebrous, tenebrious
murky, mirky
shady, shadowed
shady, shadowy
shady, umbrageous
hatched, crosshatched
moonlit, moony
agleam, gleaming
agleam, nitid
aglow, lambent
aglow, lucent
aglow, luminous
aglitter, coruscant
aglitter, fulgid
aglitter, glinting
aglitter, glistering
aglitter, glittering
aglitter, glittery
aglitter, scintillant
aglitter, scintillating
aglitter, sparkly
beady, beadlike
beady, buttony
beady, buttonlike
beaming, beamy
beaming, effulgent
beaming, radiant
beaming, refulgent
blazing, blinding
blazing, dazzling
blazing, fulgent
blazing, glaring
blazing, glary
glistening, glossy
glistening, lustrous
glistening, sheeny
glistening, shiny
glistening, shining
iridescent, nacreous
iridescent, opalescent
iridescent, opaline
iridescent, pearlescent
satiny, sleek
satiny, silken
satiny, silky
satiny, silklike
satiny, slick
silver, silvern
silver, silvery
flat, mat
flat, matt
flat, matte
flat, matted
lackluster, lacklustre
lackluster, lusterless
lackluster, lustreless
soft, subdued
dimmed, dim
undimmed, bright
prejudiced, discriminatory
racist, antiblack
racist, anti-Semite
unprejudiced, impartial
color-blind, colour-blind
color-blind, nonracist
broad, large-minded
broad, liberal
broad, tolerant
free-thinking, latitudinarian
free-thinking, undogmatic
free-thinking, undogmatical
narrow-minded, narrow
close-minded, closed-minded
dogmatic, dogmatical
illiberal, intolerant
opinionated, opinionative
opinionated, self-opinionated
petty, small-minded
broken, unkept
unbroken, kept
dashed, dotted
fitful, interrupted
fitful, off-and-on
brotherly, brotherlike
brotherly, fraternal
sisterly, sisterlike
sisterly, sororal
fraternal, biovular
identical, monovular
buried, inhumed
buried, interred
drudging, laboring
drudging, labouring
drudging, toiling
engaged, occupied
bone-idle, bone-lazy
faineant, indolent
faineant, lazy
faineant, otiose
faineant, slothful
faineant, work-shy
bony, boney
boned, deboned
buttoned, fastened
botonee, botonnee
unbuttoned, unfastened
capitalistic, capitalist
competitive, free-enterprise
competitive, private-enterprise
individualistic, laissez-faire
socialistic, socialist
collectivist, collectivistic
collectivist, collectivized
collectivist, collectivised
collectivist, state-controlled
cacophonous, cacophonic
cackly, squawky
croaky, guttural
grating, gravelly
grating, rasping
grating, raspy
grating, rough
grating, scratchy
gruff, hoarse
gruff, husky
jangling, jangly
raucous, strident
rending, ripping
rending, splitting
euphonious, euphonous
silvern, silvery
computable, estimable
countable, denumerable
countable, enumerable
countable, numerable
countless, infinite
countless, innumerable
countless, innumerous
countless, multitudinous
countless, myriad
countless, numberless
countless, uncounted
countless, unnumberable
countless, unnumbered
countless, unnumerable
incomputable, inestimable
incomputable, immeasurable
placid, quiet
placid, still
placid, tranquil
placid, smooth
placid, unruffled
angry, furious
angry, raging
angry, tempestuous
angry, wild
billowy, billowing
billowy, surging
blustering, blusterous
blustering, blustery
boisterous, fierce
boisterous, rough
blowy, breezy
blowy, windy
gusty, puffy
confident, surefooted
confident, sure-footed
neglected, unattended
certain, sure
conscientious, painstaking
conscientious, scrupulous
detailed, elaborate
detailed, elaborated
minute, narrow
overcareful, too-careful
casual, cursory
casual, passing
casual, perfunctory
haphazard, slapdash
haphazard, slipshod
haphazard, sloppy
heedless, reckless
offhand, offhanded
flesh-eating, meat-eating
flesh-eating, zoophagous
predacious, predaceous
anthophagous, anthophilous
carpophagous, fruit-eating
plant-eating, phytophagic
plant-eating, phytophagous
plant-eating, phytophilous
saprophagous, saprozoic
carpellate, pistillate
acarpelous, acarpellous
clinker-built, clincher-built
clinker-built, lap-strake
clinker-built, lap-straked
clinker-built, lap-streak
clinker-built, lap-streaked
carved, carven
engraved, etched
engraved, graven
engraved, incised
engraved, inscribed
graven, sculpted
graven, sculptured
radical, basal
caudate, caudated
bobtail, bobtailed
caudal, taillike
acaudate, acaudal
anurous, tailless
caulescent, cauline
caulescent, stemmed
acaulescent, stemless
activating, actuating
anorectic, anorexigenic
conducive, contributing
conducive, contributive
conducive, contributory
conducive, tributary
inductive, inducive
motivative, motive
motivative, motivating
motive, motor
sternutatory, sternutative
noncausative, noncausal
cagey, cagy
cagey, chary
guarded, restrained
hotheaded, impulsive
hotheaded, impetuous
hotheaded, madcap
hotheaded, tearaway
hotheaded, brainish
cancellate, cancellated
cancellate, cancellous
alveolate, faveolate
alveolate, cavitied
alveolate, honeycombed
alveolate, pitted
noncellular, acellular
single-celled, one-celled
compartmental, compartmentalized
compartmental, compartmentalised
porous, poriferous
center, halfway
center, middle
center, midway
centric, centrical
median, medial
middlemost, midmost
fringy, marginal
encircling, skirting
centripetal, receptive
centripetal, sensory
corticoafferent, corticipetal
efferent, motorial
centrifugal, motor
corticoefferent, corticofugal
corticoefferent, corticifugal
centralizing, centralising
centripetal, unifying
consolidative, integrative
decentralizing, decentralising
indisputable, sure
certain, sure
convinced, positive
convinced, confident
uncertain, unsure
uncertain, incertain
doubtful, dubious
cocksure, overconfident
cocksure, positive
self-assured, self-confident
diffident, shy
diffident, timid
diffident, unsure
certain, sure
bound, destined
doomed, fated
foreordained, predestinate
foreordained, predestined
chancy, fluky
chancy, flukey
chancy, iffy
fatal, fateful
ineluctable, inescapable
ineluctable, unavoidable
evitable, avoidable
evitable, avertible
evitable, avertable
changeable, changeful
erratic, fickle
erratic, mercurial
erratic, quicksilver
fluid, unstable
fluid, mobile
kaleidoscopic, kaleidoscopical
changeless, unalterable
fixed, frozen
static, stable
static, unchanging
convertible, transformable
convertible, translatable
convertible, transmutable
inconvertible, untransmutable
unalterable, inalterable
final, last
well-adjusted, well-balanced
unadapted, unadjusted
emended, edited
unaltered, unchanged
dateless, timeless
in-situ, unmoved
denatured, denaturized
denatured, denaturised
ionized, ionised
nonionized, nonionised
nonionized, unionized
nonionized, unionised
nonionized, nonionic
mutable, changeable
immutable, changeless
diagnostic, symptomatic
distinctive, typical
hot, live
negative, electronegative
positive, electropositive
neutral, electroneutral
dead, drained
beneficent, benevolent
beneficent, eleemosynary
beneficent, philanthropic
chartered, hired
chartered, leased
unowned, ownerless
celibate, continent
pure, vestal
pure, virgin
pure, virginal
pure, virtuous
easy, light
easy, loose
easy, promiscuous
easy, sluttish
easy, wanton
beaming, glad
beamish, smiling
beamish, twinkly
blithe, blithesome
blithe, lighthearted
blithe, lightsome
blithe, light-hearted
buoyant, chirpy
buoyant, perky
cheery, gay
cheery, sunny
chipper, debonair
chipper, debonaire
chipper, jaunty
depressing, cheerless
depressing, uncheerful
blue, dark
blue, dingy
blue, disconsolate
blue, dismal
blue, gloomy
blue, grim
blue, sorry
blue, drab
blue, drear
blue, dreary
somber, sombre
somber, melancholy
chondritic, granular
triclinic, anorthic
monochromatic, homochromatic
amber, brownish-yellow
amber, yellow-brown
aureate, gilded
aureate, gilt
aureate, gold
aureate, golden
azure, cerulean
azure, sky-blue
blue, bluish
blue, blueish
blue-lilac, bluish-lilac
blue-purple, bluish-purple
blue-violet, bluish-violet
blushful, rosy
bright-red, raspberry-red
bronze, bronzy
brown, brownish
brown, chocolate-brown
brown, dark-brown
brown-green, brownish-green
brown-purple, brownish-purple
canary, canary-yellow
fuscous, taupe
grey-blue, gray-blue
grey-blue, greyish-blue
grey-blue, grayish-blue
grey-brown, gray-brown
grey-brown, greyish-brown
grey-brown, grayish-brown
grey-green, gray-green
grey-green, greyish-green
grey-green, grayish-green
grey-pink, gray-pink
grey-pink, greyish-pink
grey-pink, grayish-pink
green, greenish
green, light-green
green, dark-green
jade, jade-green
lavender, lilac
lavender, lilac-colored
lilac-blue, violet-blue
lilac-pink, lavender-pink
lilac-pink, violet-pink
maroon, brownish-red
mousy, mousey
mousy, mouse-colored
mousy, mouselike
ocher, ochre
olive-drab, drab
orange, orangish
orange-red, orangish-red
peachy, peachy-colored
peachy, peachy-coloured
pink, pinkish
pink-lavender, pinkish-lavender
pink-orange, pinkish-orange
pink-orange, salmon
pink-purple, pinkish-purple
purple, violet
purple, purplish
purple-blue, purplish-blue
purple-brown, purplish-brown
purple-green, purplish-green
purple-lilac, purplish-lilac
purple-red, purplish-red
purple-tinged, purple-tinted
red, reddish
red, ruddy
red, blood-red
red, carmine
red, cerise
red, cherry
red, cherry-red
red, crimson
red, ruby
red, ruby-red
red, scarlet
red-brown, reddish-brown
red-brown, mahogany-red
red-lavender, reddish-lavender
red-orange, reddish-orange
red-orange, flame-orange
red-purple, reddisn-purple
red-violet, reddish-violet
rose, roseate
rose, rosaceous
rose-lilac, rose-lavender
rose-purple, rosy-purple
rose-tinted, rose-tinged
rust, rusty
rust, rust-brown
rust-red, rusty-red
sage, sage-green
silver-blue, silvery-blue
silver-green, silvery-green
snuff, snuff-brown
snuff, mummy-brown
snuff, chukker-brown
sorrel, brownish-orange
sulfur-yellow, sulphur-yellow
tawny, tawny-brown
vermilion, vermillion
vermilion, cinnabar
vermilion, Chinese-red
violet-tinged, violet-tinted
yellow, yellowish
yellow, xanthous
yellow-beige, yellowish-beige
yellow-orange, yellowish-orange
achromatic, neutral
argent, silver
argent, silvery
argent, silverish
ash-grey, ash-gray
ash-grey, ashy
black-grey, black-gray
black-grey, blackish-grey
black-grey, blackish-gray
blue-white, bluish-white
blue-white, cool-white
blue-grey, blue-gray
blue-grey, bluish-grey
